question,answer,category,language
I don't understand,I apologize for the confusion. Let me try to explain differently. What specific part would you like me to clarify?,Conversation,en
That's not what I asked,I apologize for misunderstanding. Could you please rephrase your question so I can provide a better answer?,Conversation,en
Pouvez-vous m'en dire plus ?,Je serais heureux de vous fournir plus de détails. Pourriez-vous préciser sur quel aspect vous aimeriez en savoir plus ?,Conversation,fr
Je ne comprends pas,Je m'excuse pour la confusion. Laissez-moi essayer d'expliquer différemment. Quelle partie spécifique souhaitez-vous que je clarifie ?,Conversation,fr
Thank you,"You're welcome! If you have any other questions about ISET Sfax, don't hesitate to ask. I'm here to help!",Conversation,en
Thanks,You're welcome! Is there anything else you'd like to know about ISET Sfax?,Conversation,en
Goodbye,Goodbye! Feel free to come back if you have more questions about ISET Sfax. Have a great day!,Conversation,en
Bye,Bye! I'm here anytime you need information about ISET Sfax.,Conversation,en
Merci,"De rien ! Si vous avez d'autres questions sur l'ISET Sfax, n'hésitez pas à demander. Je suis là pour vous aider !",Conversation,fr
Au revoir,Au revoir ! N'hésitez pas à revenir si vous avez d'autres questions sur l'ISET Sfax. Bonne journée !,Conversation,fr
I want to study at ISET Sfax,"That's great! ISET Sfax offers various programs in technology and engineering. To get started, you can check our admission requirements at https://www.iset-sfax.tn/admissions. Would you like to know about specific programs?",Admissions,en
Is ISET Sfax a good school?,"ISET Sfax is recognized for its quality technical education in Tunisia. Our programs are accredited by the Ministry of Higher Education, and we offer practical, career-oriented training with strong industry connections. Many of our graduates find employment within six months of graduation.",About,en
What's student life like?,"Student life at ISET Sfax is vibrant and diverse! We have over 20 student clubs, regular cultural events, sports facilities, and a supportive international student community. Campus housing and dining options make it easy to fully engage in the university experience. Would you like to know about specific aspects of student life?",Student Life,en
Je veux étudier à l'ISET Sfax,"C'est génial ! L'ISET Sfax propose divers programmes en technologie et ingénierie. Pour commencer, vous pouvez consulter nos conditions d'admission sur https://www.iset-sfax.tn/admissions. Souhaitez-vous en savoir plus sur des programmes spécifiques ?",Admissions,fr
Est-ce que l'ISET Sfax est une bonne école ?,"L'ISET Sfax est reconnue pour la qualité de son enseignement technique en Tunisie. Nos programmes sont accrédités par le Ministère de l'Enseignement Supérieur, et nous offrons une formation pratique et orientée vers la carrière avec de solides liens avec l'industrie. Beaucoup de nos diplômés trouvent un emploi dans les six mois suivant l'obtention de leur diplôme.",About,fr
What's your name?,I'm the ISET Sfax virtual assistant. You can just call me ISET Bot if you'd like!,Conversation,en
Do you like working at ISET?,"As a virtual assistant, I enjoy helping people learn about ISET Sfax and all the opportunities it offers. It's rewarding to assist students and visitors in finding the information they need!",Conversation,en
Are you a real person?,"I'm a virtual assistant designed to provide helpful information about ISET Sfax. While I'm not a human, I'm programmed to be conversational and assist you as best I can with your questions about the institute.",Conversation,en
Comment t'appelles-tu ?,Je suis l'assistant virtuel de l'ISET Sfax. Vous pouvez m'appeler ISET Bot si vous le souhaitez !,Conversation,fr
Es-tu une vraie personne ?,"Je suis un assistant virtuel conçu pour fournir des informations utiles sur l'ISET Sfax. Bien que je ne sois pas humain, je suis programmé pour être conversationnel et vous aider au mieux avec vos questions sur l'institut.",Conversation,fr
ERROR_NO_MATCH,"I'm not sure I understand that question. Could you rephrase it or ask something about ISET Sfax's programs, admissions, campus facilities, or student services?",System,en
ERROR_MULTIPLE_MATCHES,I found several possible answers to your question. Could you be more specific about what you'd like to know?,System,en
ERROR_TIMEOUT,I apologize for the delay. Let's try again with your question about ISET Sfax.,System,en
ERREUR_AUCUNE_CORRESPONDANCE,"Je ne suis pas sûr de comprendre cette question. Pourriez-vous la reformuler ou demander quelque chose sur les programmes, les admissions, les installations du campus ou les services aux étudiants de l'ISET Sfax ?",System,fr
ERREUR_CORRESPONDANCES_MULTIPLES,J'ai trouvé plusieurs réponses possibles à votre question. Pourriez-vous être plus précis sur ce que vous aimeriez savoir ?,System,fr
ERREUR_DELAI,Je m'excuse pour le délai. Essayons à nouveau avec votre question sur l'ISET Sfax.,System,fr
I'm lost,"No problem, I'm here to help. What specific information about ISET Sfax are you looking for? I can help with admissions, programs, student life, or facilities.",Conversation,en
I'm confused,"I understand it can be overwhelming. Let me simplify - ISET Sfax offers technical programs in engineering and business. What specific area interests you?",Conversation,en
You're helpful,"Thank you! I'm designed to make information about ISET Sfax accessible and easy to understand. Is there anything else I can help with?",Conversation,en
You're not helpful,"I apologize for not meeting your expectations. Could you tell me what information you're looking for specifically, so I can better assist you?",Conversation,en
Can I ask you something?,"Absolutely! I'm here to answer any questions you have about ISET Sfax. What would you like to know?",Conversation,en
Je suis perdu,"Pas de problème, je suis là pour vous aider. Quelle information spécifique sur l'ISET Sfax recherchez-vous ? Je peux vous aider concernant les admissions, les programmes, la vie étudiante ou les installations.",Conversation,fr
Je suis confus,"Je comprends que cela peut être accablant. Laissez-moi simplifier - l'ISET Sfax propose des programmes techniques en ingénierie et en commerce. Quel domaine spécifique vous intéresse ?",Conversation,fr
Tu es utile,"Merci ! Je suis conçu pour rendre les informations sur l'ISET Sfax accessibles et faciles à comprendre. Y a-t-il autre chose avec laquelle je peux vous aider ?",Conversation,fr
Tu n'es pas utile,"Je m'excuse de ne pas répondre à vos attentes. Pourriez-vous me dire quelle information vous recherchez spécifiquement, afin que je puisse mieux vous aider ?",Conversation,fr
Puis-je te poser une question ?,"Absolument ! Je suis là pour répondre à toutes vos questions sur l'ISET Sfax. Que voulez-vous savoir ?",Conversation,fr
What time is it?,"I don't have access to the current time, but I can help you with information about ISET Sfax's class schedules and operating hours if that would be helpful.",Conversation,en
Where are you located?,"I'm a virtual assistant for ISET Sfax, which is located in Sfax, Tunisia. The campus address is Route de Mahdia Km 2.5, 3099 Sfax, Tunisia.",Conversation,en
Do you speak English?,"Yes, I speak English and French to better serve our diverse student community at ISET Sfax. Feel free to communicate in either language.",Conversation,en
Do you speak French?,"Oui, je parle français et anglais pour mieux servir notre communauté étudiante diversifiée à l'ISET Sfax. N'hésitez pas à communiquer dans l'une ou l'autre langue.",Conversation,en
Can I talk to a human?,"While I'm designed to answer most questions about ISET Sfax, if you need to speak with a staff member, you can contact the administration office at +216 74 431 133 or visit https://www.iset-sfax.tn/contact for more contact options.",Conversation,en
Quelle heure est-il ?,"Je n'ai pas accès à l'heure actuelle, mais je peux vous aider avec des informations sur les horaires des cours et les heures d'ouverture de l'ISET Sfax si cela vous serait utile.",Conversation,fr
Où es-tu situé ?,"Je suis un assistant virtuel pour l'ISET Sfax, qui est situé à Sfax, en Tunisie. L'adresse du campus est Route de Mahdia Km 2.5, 3099 Sfax, Tunisie.",Conversation,fr
Parles-tu anglais ?,"Oui, je parle anglais et français pour mieux servir notre communauté étudiante diversifiée à l'ISET Sfax. N'hésitez pas à communiquer dans l'une ou l'autre langue.",Conversation,fr
Parles-tu français ?,"Oui, je parle français et anglais pour mieux servir notre communauté étudiante diversifiée à l'ISET Sfax. N'hésitez pas à communiquer dans l'une ou l'autre langue.",Conversation,fr
Puis-je parler à un humain ?,"Bien que je sois conçu pour répondre à la plupart des questions sur l'ISET Sfax, si vous avez besoin de parler à un membre du personnel, vous pouvez contacter le bureau administratif au +216 74 431 133 ou visiter https://www.iset-sfax.tn/contact pour plus d'options de contact.",Conversation,fr
I'm a new student,"Welcome to ISET Sfax! As a new student, you'll want to check out orientation information, your course schedule, and campus facilities. What specific information would be most helpful for you right now?",Conversation,en
I'm considering applying,"Great to hear you're interested in ISET Sfax! Our admissions process is detailed at https://www.iset-sfax.tn/admissions. Would you like to know about specific programs, requirements, or application deadlines?",Conversation,en
I'm a parent,"Thank you for your interest in ISET Sfax for your child. We offer quality technical education with strong career outcomes. Parents often ask about safety, housing, academic support, and financial information. What would you like to know?",Conversation,en
I'm a researcher,"Welcome! ISET Sfax has various research centers and collaboration opportunities. Our faculty engages in applied research across engineering and technical fields. Are you interested in specific research areas or potential partnerships?",Conversation,en
I'm an international student,"Welcome! ISET Sfax welcomes international students. We offer support with visa processes, accommodation, and integration. International students can find specific information at https://www.iset-sfax.tn/international. What would you like to know about studying here?",Conversation,en
